30,Virtual Brunch Garden,16,Thai
29,Virtual Brunch Garden,13,Spanish
28,Virtual Brunch Garden,17,Vietnamese
27,Virtual Japanese Garden,8,Greek
26,Virtual Japanese Garden,2,Breakfast & Brunch
25,Virtual Japanese Garden,13,Spanish
24,Solid state Japanese Garden,14,Sushi Bars
23,Solid state Japanese Garden,10,Japanese
22,Solid state Japanese Garden,15,Taiwanese
21,Optical Noodle Bar,0,American
20,Optical Noodle Bar,9,Italian
19,Optical Noodle Bar,17,Vietnamese
18,Cross-platform Brunch Garden,10,Japanese
17,Cross-platform Brunch Garden,2,Breakfast & Brunch
16,Cross-platform Brunch Garden,7,French
15,Digital Seafood Shoppe,16,Thai
14,Digital Seafood Shoppe,15,Taiwanese
13,Digital Seafood Shoppe,4,Cafes
12,Primary Brunch House,13,Spanish
11,Primary Brunch House,4,Cafes
10,Primary Brunch House,9,Italian
9,Virtual Noodle House,0,American
8,Virtual Noodle House,0,American
7,Virtual Noodle House,4,Cafes
6,Auxiliary Ramen Bar,6,Fast Food
5,Auxiliary Ramen Bar,10,Japanese
4,Auxiliary Ramen Bar,17,Vietnamese
3,Virtual Chinese Bar,6,Fast Food
2,Virtual Chinese Bar,16,Thai
1,Virtual Chinese Bar,7,French
